valid_time,year,t2m_c,d2m_c,RH,tp_mm,ssrd_MJ,municipio
2024-02-01,2024,19.82486,16.455109,80.92776,11.959162,18.830368,La Union-Narino
2024-02-01,2024,16.884186,14.015778,83.20219,6.6807084,18.818096,Ricaurte-Moniquira
2024-03-01,2024,19.870758,16.660065,81.75604,11.857383,18.791697,La Union-Narino
2024-03-01,2024,17.26529,13.933502,80.78653,4.8518023,20.536625,Ricaurte-Moniquira
2024-04-01,2024,19.366364,16.707794,84.61305,20.892136,17.918749,La Union-Narino
2024-04-01,2024,16.880035,14.243317,84.45967,11.468787,17.273071,Ricaurte-Moniquira
2024-05-01,2024,19.65628,17.06607,85.01165,20.56865,15.406765,La Union-Narino
2024-05-01,2024,17.464752,14.581207,83.18941,11.51669,16.01142,Ricaurte-Moniquira
2024-06-01,2024,19.432037,16.187897,81.526634,17.325062,15.869094,La Union-Narino
2024-06-01,2024,16.65567,13.921783,83.904526,10.146018,16.292992,Ricaurte-Moniquira
2024-07-01,2024,20.048004,13.302643,65.15246,3.9813929,18.137314,La Union-Narino
2024-07-01,2024,16.68277,12.818756,77.95193,6.819814,18.400934,Ricaurte-Moniquira
2024-08-01,2024,19.76944,12.840607,64.3164,7.252521,20.764576,La Union-Narino
2024-08-01,2024,16.433258,12.071686,75.40886,5.5752287,19.945456,Ricaurte-Moniquira
2024-09-01,2024,20.646149,13.426666,63.299477,4.7707224,21.35496,La Union-Narino
2024-09-01,2024,16.684235,12.105377,74.38016,7.3861575,19.385809,Ricaurte-Moniquira
2024-10-01,2024,19.207062,15.691193,80.09451,13.631645,19.31944,La Union-Narino
2024-10-01,2024,16.437408,13.279449,81.595894,8.5972805,17.546528,Ricaurte-Moniquira
2024-11-01,2024,18.322052,14.732452,79.59407,8.17705,18.201696,La Union-Narino
2024-11-01,2024,15.782013,13.745636,87.700005,9.455036,14.777744,Ricaurte-Moniquira
2024-12-01,2024,18.394196,16.303741,87.62782,20.030464,16.344389,La Union-Narino
2024-12-01,2024,16.181671,13.350494,83.32063,4.92251,17.162352,Ricaurte-Moniquira
